correct,format,problem,response,response_time,size,subject_nr,truth,,,,
1,digit,7,+,9,=,13,l,1150,large,999,F
0,digit,8,+,4,=,12,l,1184,large,999,T
1,digit,5,+,2,=,7,a,841,small,999,T
1,digit,9,+,8,=,17,a,1712,large,999,T
1,digit,6,+,9,=,15,a,1118,large,999,T
1,digit,4,+,9,=,16,l,1070,large,999,F
1,word,five,+,five,=,ten,a,1071,small,999,T
1,digit,9,+,5,=,14,a,1353,large,999,T
1,word,two,+,four,=,nine,l,1603,small,999,F
1,word,three,+,six,=,seven,l,1992,small,999,F
1,word,seven,+,eight,=,thirteen,l,3120,large,999,F
1,digit,4,+,4,=,8,a,717,small,999,T
1,word,seven,+,seven,=,fourteen,a,1302,large,999,T
1,word,three,+,nine,=,twelve,a,1279,large,999,T
1,word,two,+,two,=,four,a,607,small,999,T
1,digit,4,+,2,=,6,a,938,small,999,T
1,word,eight,+,eight,=,thirteen,l,1171,large,999,F
1,word,four,+,seven,=,fifteen,l,2365,large,999,F
1,word,nine,+,nine,=,seventeen,l,1127,large,999,F
1,word,eight,+,three,=,seven,l,1541,small,999,F
1,word,six,+,nine,=,fifteen,a,2070,large,999,T
1,word,six,+,two,=,seven,l,1239,small,999,F
1,digit,2,+,5,=,4,l,914,small,999,F
1,digit,6,+,7,=,13,a,1299,large,999,T
1,word,six,+,seven,=,thirteen,a,2388,large,999,T
1,digit,3,+,9,=,12,a,1009,large,999,T
1,digit,2,+,8,=,10,a,808,small,999,T
1,digit,4,+,9,=,13,a,930,large,999,T
1,digit,3,+,3,=,6,a,722,small,999,T
1,digit,7,+,3,=,6,l,1009,small,999,F
0,digit,6,+,8,=,17,a,1061,large,999,F
1,word,two,+,nine,=,eleven,a,1333,small,999,T
1,digit,3,+,4,=,7,a,2506,small,999,T
1,word,five,+,seven,=,sixteen,l,3598,large,999,F
1,digit,5,+,4,=,9,a,804,small,999,T
1,digit,2,+,2,=,5,l,799,small,999,F
1,digit,4,+,4,=,10,l,773,small,999,F
1,digit,8,+,8,=,15,l,772,large,999,F
1,digit,7,+,9,=,16,a,1009,large,999,T
1,word,two,+,three,=,four,l,2002,small,999,F
1,digit,9,+,2,=,11,a,849,small,999,T
1,word,nine,+,eight,=,eighteen,l,1922,large,999,F
1,word,six,+,eight,=,fourteen,a,4363,large,999,T
1,word,five,+,five,=,nine,l,1394,small,999,F
1,digit,2,+,7,=,9,a,941,small,999,T
1,word,eight,+,four,=,twelve,a,1613,large,999,T
1,word,five,+,eight,=,fifteen,l,2832,large,999,F
1,digit,9,+,5,=,18,l,1484,large,999,F
1,digit,4,+,6,=,10,a,958,small,999,T
1,word,five,+,three,=,eight,a,1882,small,999,T
1,word,four,+,five,=,ten,l,1707,small,999,F
1,word,two,+,eight,=,ten,a,996,small,999,T
1,digit,9,+,8,=,14,l,1840,large,999,F
1,digit,7,+,5,=,12,a,3362,large,999,T
1,digit,6,+,9,=,12,l,1059,large,999,F
1,word,six,+,three,=,nine,a,2233,small,999,T
1,digit,5,+,8,=,13,a,3496,large,999,T
1,word,four,+,four,=,eight,a,928,small,999,T
1,digit,3,+,2,=,5,a,897,small,999,T
1,word,six,+,five,=,fourteen,l,2764,large,999,F
1,digit,5,+,6,=,13,l,2796,large,999,F
1,word,two,+,five,=,six,l,1425,small,999,F
1,digit,7,+,4,=,12,l,2206,large,999,F
1,word,seven,+,nine,=,sixteen,a,1841,large,999,T
1,digit,5,+,5,=,12,l,781,small,999,F
1,digit,5,+,3,=,7,l,1282,small,999,F
1,word,nine,+,five,=,twelve,l,1402,large,999,F
1,digit,6,+,2,=,11,l,992,small,999,F
1,word,six,+,four,=,eight,l,1870,small,999,F
1,word,four,+,two,=,six,a,1876,small,999,T
1,digit,8,+,7,=,15,a,2245,large,999,T
1,word,seven,+,eight,=,fifteen,a,1464,large,999,T
1,word,three,+,seven,=,twelve,l,2340,small,999,F
1,digit,9,+,9,=,16,l,891,large,999,F
1,digit,6,+,6,=,12,a,725,large,999,T
1,word,three,+,four,=,five,l,1601,small,999,F
1,digit,7,+,7,=,14,a,700,large,999,T
1,word,two,+,seven,=,nine,a,1346,small,999,T
1,digit,3,+,6,=,8,l,1129,small,999,F
1,word,nine,+,four,=,thirteen,a,1928,large,999,T
1,digit,3,+,8,=,9,l,1684,small,999,F
1,word,six,+,six,=,eleven,l,1057,large,999,F
1,digit,8,+,4,=,13,l,2148,large,999,F
1,word,three,+,three,=,six,a,1266,small,999,T
1,word,six,+,seven,=,eleven,l,3479,large,999,F
1,word,five,+,nine,=,fourteen,a,1063,large,999,T
1,digit,5,+,4,=,6,l,880,small,999,F
1,digit,2,+,4,=,10,l,757,small,999,F
1,word,four,+,four,=,seven,l,1010,small,999,F
1,word,six,+,five,=,eleven,a,2836,large,999,T
1,digit,7,+,7,=,13,l,705,large,999,F
1,digit,6,+,3,=,9,a,1347,small,999,T
1,word,seven,+,seven,=,seventeen,l,1344,large,999,F
1,digit,4,+,9,=,17,l,1426,large,999,F
1,digit,9,+,7,=,12,l,1316,large,999,F
1,digit,6,+,7,=,15,l,5430,large,999,F
1,digit,5,+,8,=,16,l,1531,large,999,F
1,word,two,+,three,=,five,a,1413,small,999,T
1,digit,8,+,6,=,14,a,3122,large,999,T
1,digit,9,+,3,=,11,l,2368,large,999,F
1,word,three,+,four,=,seven,a,1566,small,999,T
1,word,five,+,five,=,ten,a,1007,small,999,T
1,word,eight,+,three,=,eleven,a,2094,small,999,T
1,word,nine,+,nine,=,eighteen,a,984,large,999,T
1,digit,5,+,2,=,7,a,1135,small,999,T
1,word,two,+,two,=,eight,l,1008,small,999,F
1,word,six,+,two,=,eight,a,1920,small,999,T
1,word,six,+,three,=,eleven,l,1827,small,999,F
1,digit,7,+,8,=,18,l,1705,large,999,F
1,word,eight,+,seven,=,twelve,l,1766,large,999,F
0,word,five,+,three,=,four,a,1765,small,999,F
1,digit,3,+,8,=,11,a,1730,small,999,T
0,digit,8,+,2,=,11,a,929,small,999,F
1,digit,5,+,3,=,8,a,4656,small,999,T
1,digit,2,+,6,=,8,a,1379,small,999,T
1,word,seven,+,four,=,eleven,a,3425,large,999,T
1,word,eight,+,four,=,fifteen,l,1964,large,999,F
1,digit,8,+,8,=,16,a,851,large,999,T
1,digit,6,+,5,=,11,a,1166,large,999,T
1,digit,4,+,6,=,9,l,1281,small,999,F
1,word,three,+,seven,=,ten,a,2638,small,999,T
1,digit,9,+,9,=,18,a,741,large,999,T
1,digit,5,+,7,=,10,l,1709,large,999,F
1,word,four,+,nine,=,fourteen,l,1631,large,999,F
1,word,three,+,three,=,ten,l,1162,small,999,F
1,word,nine,+,eight,=,seventeen,a,1862,large,999,T
1,word,seven,+,five,=,twelve,a,4696,large,999,T
